The train model is : ./model/Sougoumodel_epoch_9.bin
The logger information is saved in : ./train_data/job_logger.txt
	 batch = 0 	 loss = 8.74895 	 cost_time = 3.261s
	 batch = 100 	 loss = 4.56114 	 cost_time = 8.247s
	 batch = 200 	 loss = 10.71087 	 cost_time = 13.468s
	 batch = 300 	 loss = 5.40626 	 cost_time = 18.449s
	 batch = 400 	 loss = 4.95267 	 cost_time = 23.377s
	 batch = 500 	 loss = 3.12958 	 cost_time = 28.447s
	 batch = 600 	 loss = 5.43683 	 cost_time = 33.598s
	 batch = 700 	 loss = 5.12091 	 cost_time = 38.571s
	 batch = 800 	 loss = 6.97445 	 cost_time = 43.432s
	 batch = 900 	 loss = 3.56015 	 cost_time = 48.624s
	 batch = 1000 	 loss = 4.75778 	 cost_time = 54.427s
	 batch = 1100 	 loss = 3.54610 	 cost_time = 59.572s
	 batch = 1200 	 loss = 4.16396 	 cost_time = 64.699s
	 batch = 1300 	 loss = 6.96201 	 cost_time = 69.837s
	 batch = 1400 	 loss = 8.17792 	 cost_time = 75.021s
	 batch = 1500 	 loss = 6.74203 	 cost_time = 80.116s
	 batch = 1600 	 loss = 9.10677 	 cost_time = 85.109s
	 batch = 1700 	 loss = 5.49951 	 cost_time = 90.196s
	 batch = 1800 	 loss = 3.42033 	 cost_time = 95.314s
	 batch = 1900 	 loss = 3.95381 	 cost_time = 100.313s
	 batch = 2000 	 loss = 5.85651 	 cost_time = 106.424s
	 batch = 2100 	 loss = 6.17364 	 cost_time = 111.378s
	 batch = 2200 	 loss = 4.57126 	 cost_time = 116.397s
	 batch = 2300 	 loss = 4.56931 	 cost_time = 121.396s
	 batch = 2400 	 loss = 5.43410 	 cost_time = 126.400s
	 batch = 2500 	 loss = 5.25447 	 cost_time = 131.403s
	 batch = 2600 	 loss = 8.24282 	 cost_time = 136.454s
	 batch = 2700 	 loss = 2.80486 	 cost_time = 141.442s
	 batch = 2800 	 loss = 5.05490 	 cost_time = 146.404s
	 batch = 2900 	 loss = 3.91047 	 cost_time = 151.550s
	 batch = 3000 	 loss = 4.39883 	 cost_time = 157.408s
	 batch = 3100 	 loss = 3.36313 	 cost_time = 162.314s
	 batch = 3200 	 loss = 6.19765 	 cost_time = 167.201s
	 batch = 3300 	 loss = 3.95146 	 cost_time = 172.169s
	 batch = 3400 	 loss = 5.03558 	 cost_time = 177.329s
	 batch = 3500 	 loss = 4.34620 	 cost_time = 182.337s
	 batch = 3600 	 loss = 4.42056 	 cost_time = 187.492s
	 batch = 3700 	 loss = 5.48422 	 cost_time = 192.520s
	 batch = 3800 	 loss = 5.27194 	 cost_time = 197.708s
	 batch = 3900 	 loss = 5.94227 	 cost_time = 203.047s
	 batch = 4000 	 loss = 7.35043 	 cost_time = 209.020s
	 batch = 4100 	 loss = 4.87660 	 cost_time = 213.739s
	 batch = 4200 	 loss = 3.88353 	 cost_time = 218.681s
	 batch = 4300 	 loss = 5.72939 	 cost_time = 223.569s
	 batch = 4400 	 loss = 4.64318 	 cost_time = 228.577s
	 batch = 4500 	 loss = 5.37369 	 cost_time = 233.566s
	 batch = 4600 	 loss = 4.49663 	 cost_time = 238.151s
	 batch = 4700 	 loss = 5.04297 	 cost_time = 243.128s
	 batch = 4800 	 loss = 12.29859 	 cost_time = 248.220s
	 batch = 4900 	 loss = 5.44500 	 cost_time = 253.154s
	 batch = 5000 	 loss = 2.51295 	 cost_time = 258.615s
	 batch = 5100 	 loss = 3.78050 	 cost_time = 263.732s
	 batch = 5200 	 loss = 2.90659 	 cost_time = 268.668s
	 batch = 5300 	 loss = 4.94619 	 cost_time = 273.782s
	 batch = 5400 	 loss = 3.73348 	 cost_time = 279.079s
	 batch = 5500 	 loss = 6.26179 	 cost_time = 284.124s
	 batch = 5600 	 loss = 4.85923 	 cost_time = 289.392s
	 batch = 5700 	 loss = 3.25760 	 cost_time = 294.598s
	 batch = 5800 	 loss = 4.51925 	 cost_time = 299.992s
	 batch = 5900 	 loss = 6.29213 	 cost_time = 305.126s
	 batch = 6000 	 loss = 8.04478 	 cost_time = 310.767s
	 batch = 6100 	 loss = 5.65462 	 cost_time = 315.673s
	 batch = 6200 	 loss = 5.32126 	 cost_time = 320.720s
	 batch = 6300 	 loss = 5.01462 	 cost_time = 325.497s
	 batch = 6400 	 loss = 4.50547 	 cost_time = 330.921s
	 batch = 6500 	 loss = 1.12621 	 cost_time = 336.220s
	 batch = 6600 	 loss = 3.03677 	 cost_time = 341.591s
	 batch = 6700 	 loss = 3.30390 	 cost_time = 346.794s
	 batch = 6800 	 loss = 4.51346 	 cost_time = 351.977s
	 batch = 6900 	 loss = 4.63496 	 cost_time = 357.117s
	 batch = 7000 	 loss = 4.58501 	 cost_time = 363.083s
	 batch = 7100 	 loss = 2.54783 	 cost_time = 368.310s
	 batch = 7200 	 loss = 4.58189 	 cost_time = 373.318s
	 batch = 7300 	 loss = 3.78381 	 cost_time = 378.262s
